Year_Built,Heating_QC,Full_Bath,Bedroom_AbvGr,TotRms_AbvGrd,Garage_Cars,Pool_QC,Sale_Price,transformed_price
2007,Excellent,2,3,7,3,No_Pool,306000,12.63134038
2009,Excellent,2,3,8,3,No_Pool,395192,12.887127
2009,Excellent,2,3,7,3,No_Pool,290941,12.58087578
2005,Excellent,2,3,7,2,No_Pool,220000,12.30138283
2005,Excellent,2,3,7,3,No_Pool,275000,12.52452638
2005,Excellent,2,3,8,3,No_Pool,259000,12.46458334
2004,Excellent,2,3,7,2,No_Pool,214000,12.27373129
2009,Excellent,2,2,11,3,No_Pool,611657,13.32392695
2009,Excellent,2,2,6,2,No_Pool,224000,12.31940133
2003,Excellent,2,3,10,3,No_Pool,500000,13.12236338
2002,Excellent,2,3,7,3,No_Pool,320000,12.67607627
2005,Excellent,2,2,6,2,No_Pool,319900,12.67576373
2006,Excellent,2,2,6,2,No_Pool,205000,12.23076526
2003,Excellent,2,2,6,2,No_Pool,175500,12.07539432
2005,Excellent,2,3,6,2,No_Pool,199500,12.20356952
2006,Excellent,2,2,6,2,No_Pool,160000,11.98292909
2004,Excellent,2,2,6,2,No_Pool,192000,12.16525065
2004,Excellent,2,3,7,2,No_Pool,184500,12.12540474
2002,Excellent,2,4,8,2,No_Pool,216500,12.28534583
2004,Excellent,2,3,7,2,No_Pool,185088,12.12858667
2000,Excellent,2,3,7,2,No_Pool,180000,12.10071213
2001,Excellent,2,3,8,2,No_Pool,222500,12.31268238
1999,Excellent,2,4,10,3,No_Pool,333168,12.71640215
1998,Excellent,2,4,7,3,No_Pool,355000,12.77987307
1996,Excellent,2,3,7,2,No_Pool,260400,12.46997419
1994,Excellent,2,3,9,2,No_Pool,325000,12.69158046
1999,Excellent,2,4,9,3,No_Pool,290000,12.5776362
1998,Good,2,4,7,2,No_Pool,221000,12.30591798
1995,Excellent,2,4,9,3,No_Pool,410000,12.92391244
2005,Excellent,2,2,6,3,No_Pool,221500,12.30817787
2009,Excellent,2,2,4,2,No_Pool,204500,12.22832325
2009,Excellent,2,3,7,2,No_Pool,215200,12.27932311
2008,Excellent,2,3,7,2,No_Pool,262500,12.47800636
2004,Excellent,2,3,8,2,No_Pool,254900,12.44862659
2005,Excellent,2,2,6,2,No_Pool,271500,12.51171742
2004,Excellent,2,4,8,2,No_Pool,233000,12.35879373
2004,Excellent,2,3,8,2,No_Pool,181000,12.10625231
1994,Excellent,2,3,8,2,No_Pool,205000,12.23076526
1980,Typical,2,2,5,1,No_Pool,143000,11.87059991
1992,Excellent,2,3,8,2,No_Pool,189000,12.14950229
1979,Typical,2,2,5,1,No_Pool,99500,11.50791292
1984,Typical,1,2,4,1,No_Pool,125000,11.73606902
1993,Excellent,2,3,7,2,No_Pool,194500,12.17818744
1984,Typical,2,3,6,2,No_Pool,152000,11.9316358
1980,Typical,2,3,7,2,No_Pool,171000,12.04941884
1920,Typical,1,2,5,1,No_Pool,67500,11.11988288
1978,Typical,2,4,8,2,No_Pool,112000,11.62625415
1961,Typical,1,3,6,2,No_Pool,148000,11.90496755
1965,Excellent,1,3,5,1,No_Pool,138500,11.8386256
1967,Typical,1,3,5,1,No_Pool,122000,11.71177632
1963,Fair,1,3,5,1,No_Pool,133000,11.79810441
1962,Excellent,1,3,6,1,No_Pool,127000,11.75194237
1974,Excellent,2,3,7,2,No_Pool,169000,12.03765399
1992,Excellent,2,3,8,2,No_Pool,190000,12.15477935
1993,Excellent,2,4,9,3,No_Pool,362500,12.80077975
1992,Excellent,2,4,7,3,No_Pool,285000,12.56024446
2004,Excellent,2,2,6,2,No_Pool,260000,12.46843691
2004,Excellent,2,2,3,2,No_Pool,190000,12.15477935
2004,Excellent,2,2,4,2,No_Pool,155000,11.9511804
2004,Excellent,2,2,4,2,No_Pool,151000,11.92503512
2004,Excellent,2,2,4,2,No_Pool,149500,11.91505167
2005,Excellent,2,2,4,2,No_Pool,152000,11.9316358
2009,Excellent,2,2,7,2,No_Pool,222000,12.31043266
2000,Excellent,2,3,5,2,No_Pool,177500,12.08672589
2000,Excellent,2,2,5,2,No_Pool,177000,12.08390501
1999,Excellent,2,3,6,2,No_Pool,155000,11.9511804
2003,Excellent,2,2,4,2,No_Pool,147110,11.89893589
2010,Excellent,1,1,6,3,No_Pool,267916,12.49842878
2000,Excellent,2,3,7,2,No_Pool,254000,12.44508955
1980,Typical,1,1,3,2,No_Pool,155000,11.9511804
1978,Typical,1,1,4,2,No_Pool,206000,12.23563145
1976,Excellent,2,3,6,2,No_Pool,130500,11.77912851
2002,Excellent,2,3,6,2,No_Pool,230000,12.34583459
1967,Good,2,4,8,2,No_Pool,218500,12.29454129
1993,Excellent,2,4,9,2,No_Pool,243500,12.40287222
1977,Good,2,3,6,2,No_Pool,205000,12.23076526
1978,Typical,3,3,7,2,No_Pool,212500,12.26669727
1988,Typical,2,3,7,2,No_Pool,196500,12.18841771
1972,Typical,1,3,5,2,No_Pool,197500,12.19349386
1971,Typical,1,4,7,2,No_Pool,171000,12.04941884
1966,Typical,1,3,6,2,No_Pool,142250,11.86534135
1963,Typical,1,3,6,2,No_Pool,143000,11.87059991
1959,Fair,1,3,6,0,No_Pool,128950,11.76718001
1966,Good,1,3,6,2,No_Pool,159000,11.97665948
1967,Excellent,2,3,6,2,No_Pool,178900,12.09458227
1964,Typical,2,3,8,2,No_Pool,136300,11.82261362
1964,Typical,1,3,6,2,No_Pool,180500,12.10348606
1963,Excellent,1,3,6,2,No_Pool,137500,11.8313792
1962,Typical,2,6,10,0,No_Pool,84900,11.34922937
1950,Good,1,2,5,1,No_Pool,142125,11.86446223
1952,Good,2,3,7,2,No_Pool,197600,12.19400006
1949,Typical,2,3,6,2,No_Pool,172500,12.05815252
1958,Good,1,2,4,0,No_Pool,116500,11.66564655
1940,Excellent,1,3,6,0,No_Pool,76500,11.24504602
1954,Typical,1,3,6,1,No_Pool,128000,11.75978554
1955,Excellent,1,3,7,1,No_Pool,153000,11.9381932
1954,Good,1,2,7,1,No_Pool,132000,11.7905572
1966,Good,1,2,5,1,No_Pool,178000,12.08953883
1960,Typical,2,5,12,2,No_Pool,154300,11.94665404
1970,Typical,2,3,7,2,No_Pool,180000,12.10071213
1966,Excellent,2,2,6,2,No_Pool,190000,12.15477935
1958,Typical,2,4,8,2,No_Pool,135000,11.81303006
2003,Excellent,2,3,7,2,No_Pool,214000,12.27373129
1959,Typical,1,3,6,1,No_Pool,136000,11.82041016
1959,Good,1,4,6,2,No_Pool,165500,12.01672647
1957,Typical,1,3,5,1,No_Pool,145000,11.88448902
1959,Typical,1,3,6,1,No_Pool,148000,11.90496755
1959,Fair,1,3,6,2,No_Pool,142000,11.86358234
1960,Typical,1,3,6,2,No_Pool,167500,12.02873863
1959,Fair,1,3,6,1,No_Pool,108538,11.59485562
1959,Excellent,1,3,6,2,No_Pool,159500,11.9797992
1956,Typical,1,3,5,1,No_Pool,108000,11.58988651
1952,Typical,1,2,4,1,No_Pool,135000,11.81303006
1955,Typical,1,3,5,1,No_Pool,122500,11.71586631
1958,Typical,1,2,5,1,No_Pool,119000,11.68687877
1953,Typical,1,3,5,1,No_Pool,109000,11.59910316
1920,Good,1,2,4,2,No_Pool,105000,11.56171563
1955,Excellent,1,2,5,1,No_Pool,107500,11.58524613
1954,Good,1,3,6,2,No_Pool,144900,11.88379913
1956,Excellent,1,2,4,1,No_Pool,129000,11.76756768
1948,Typical,1,3,6,1,No_Pool,97500,11.48760766
1980,Good,0,0,4,2,No_Pool,144000,11.87756858
1959,Excellent,1,3,7,2,No_Pool,162000,11.99535161
1967,Excellent,2,5,11,2,No_Pool,242000,12.39669301
1948,Typical,1,3,5,1,No_Pool,132000,11.7905572
1959,Excellent,1,3,6,1,No_Pool,154000,11.94470788
1952,Fair,2,4,6,2,No_Pool,166000,12.01974307
1951,Typical,1,3,5,2,No_Pool,134800,11.81154748
1962,Typical,1,3,5,2,No_Pool,160000,11.98292909
1960,Excellent,1,3,6,2,No_Pool,148000,11.90496755
1963,Typical,1,2,7,2,No_Pool,192000,12.16525065
1966,Typical,1,4,7,2,No_Pool,155000,11.9511804
1900,Typical,1,3,9,1,No_Pool,80400,11.29476946
1910,Good,1,3,7,0,No_Pool,96500,11.47729829
1920,Typical,1,2,5,0,No_Pool,109500,11.60367983
1927,Good,1,2,5,2,No_Pool,115000,11.65268741
1957,Good,1,3,6,2,No_Pool,143000,11.87059991
1915,Good,2,3,8,1,No_Pool,107400,11.58431546
1945,Typical,1,2,4,1,No_Pool,80000,11.28978191
1940,Typical,1,2,4,1,No_Pool,119000,11.68687877
1929,Typical,1,3,6,2,No_Pool,130000,11.77528973
1938,Good,1,3,6,1,No_Pool,119000,11.68687877
1948,Excellent,1,3,7,1,No_Pool,129000,11.76756768
1920,Typical,1,3,6,1,No_Pool,100000,11.51292546
1923,Typical,1,2,5,2,No_Pool,12789,9.456340705
1928,Good,1,2,5,2,No_Pool,105900,11.57025053
1900,Typical,2,3,7,1,No_Pool,150000,11.91839057
1915,Typical,2,4,7,1,No_Pool,139000,11.84222921
1890,Excellent,3,3,7,2,No_Pool,240000,12.3883942
1910,Fair,2,4,12,0,No_Pool,76500,11.24504602
1957,Typical,1,2,6,2,No_Pool,149700,11.91638857
1910,Good,1,3,6,2,No_Pool,125500,11.74006104
1885,Good,2,4,11,2,No_Pool,122500,11.71586631
1922,Excellent,1,2,6,2,No_Pool,140750,11.85474055
1950,Excellent,1,3,7,1,No_Pool,128500,11.76368418
1922,Typical,1,3,8,1,No_Pool,209500,12.25247902
1925,Typical,1,2,4,1,No_Pool,87000,11.3736634
1939,Typical,1,2,5,1,No_Pool,134000,11.80559508
1940,Excellent,1,3,6,2,No_Pool,128000,11.75978554
1942,Typical,1,3,7,1,No_Pool,132000,11.7905572
1948,Typical,1,3,6,1,No_Pool,139900,11.84868316
1936,Good,1,2,5,2,No_Pool,123900,11.72723007
1930,Typical,2,4,7,2,No_Pool,138400,11.83790332
1923,Typical,1,2,5,1,No_Pool,109500,11.60367983
1921,Good,2,3,9,2,No_Pool,140000,11.8493977
1915,Excellent,1,4,9,2,No_Pool,149500,11.91505167
1912,Excellent,1,3,7,0,No_Pool,159900,11.9823039
1920,Excellent,1,3,6,1,No_Pool,122000,11.71177632
1963,Typical,1,2,5,2,No_Pool,110000,11.60823564
1930,Fair,2,3,7,0,No_Pool,55000,10.91508846
1900,Good,2,4,8,2,No_Pool,140000,11.8493977
1940,Excellent,2,4,10,1,No_Pool,244400,12.40656151
1959,Good,2,3,8,1,No_Pool,173000,12.06104687
1917,Good,1,3,6,1,No_Pool,107500,11.58524613
1915,Typical,1,3,6,0,No_Pool,100000,11.51292546
1940,Excellent,1,3,5,1,No_Pool,95000,11.46163217
1907,Typical,1,4,7,0,No_Pool,93369,11.44431466
1910,Good,2,2,7,2,No_Pool,114900,11.65181746
1875,Good,1,2,6,0,No_Pool,94000,11.45105006
1967,Typical,2,4,8,0,No_Pool,136000,11.82041016
1968,Typical,2,4,8,0,No_Pool,136500,11.82407989
1965,Excellent,1,3,6,2,No_Pool,131500,11.78676213
1957,Typical,1,3,5,2,No_Pool,121500,11.70766954
1967,Typical,1,3,5,1,No_Pool,125000,11.73606902
1968,Excellent,1,3,6,1,No_Pool,154000,11.94470788
1966,Excellent,1,3,5,1,No_Pool,137900,11.83428406
1969,Typical,1,4,7,1,No_Pool,158000,11.97035031
1968,Excellent,1,2,4,1,No_Pool,137250,11.82955936
1978,Typical,1,3,5,2,No_Pool,160250,11.98449037
1968,Excellent,1,4,7,2,No_Pool,163000,12.00150548
1978,Typical,2,3,6,2,No_Pool,158900,11.97603035
1996,Excellent,2,3,7,2,No_Pool,328000,12.70076889
1977,Good,1,1,4,2,No_Pool,270000,12.50617724
1927,Typical,1,2,4,2,No_Pool,85000,11.35040654
1950,Typical,2,2,4,2,No_Pool,128000,11.75978554
1979,Typical,0,0,4,2,No_Pool,260000,12.46843691
1978,Excellent,2,4,8,2,No_Pool,230000,12.34583459
1938,Typical,2,4,8,1,No_Pool,124000,11.72803684
1920,Fair,1,2,5,1,No_Pool,83000,11.32659589
1950,Excellent,1,3,6,1,No_Pool,144500,11.88103479
1956,Typical,1,3,6,1,No_Pool,129000,11.76756768
1947,Excellent,1,3,8,1,No_Pool,127000,11.75194237
1954,Typical,1,3,5,1,No_Pool,128000,11.75978554
2009,Excellent,2,3,6,2,No_Pool,186000,12.13350195
2009,Excellent,1,1,5,2,No_Pool,308030,12.63795246
1964,Excellent,2,3,5,2,No_Pool,114000,11.64395373
1946,Excellent,1,2,6,1,No_Pool,84900,11.34922937
1985,Typical,2,3,7,2,No_Pool,178000,12.08953883
1987,Excellent,1,1,4,2,No_Pool,270000,12.50617724
1993,Excellent,2,3,8,4,No_Pool,218000,12.29225034
1993,Excellent,2,3,8,2,No_Pool,236000,12.37158708
1992,Excellent,1,2,5,2,No_Pool,147000,11.89818787
2008,Excellent,2,3,7,3,No_Pool,245350,12.41044104
2006,Excellent,2,2,6,2,No_Pool,206000,12.23563145
2009,Excellent,2,3,6,3,No_Pool,198900,12.20055746
2010,Excellent,2,2,6,2,No_Pool,187000,12.1388639
1990,Good,3,5,11,3,No_Pool,320000,12.67607627
1900,Typical,2,3,6,2,No_Pool,138500,11.8386256
1971,Good,1,3,6,2,No_Pool,155000,11.9511804
1996,Good,1,2,4,2,No_Pool,159000,11.97665948
1997,Excellent,2,3,8,2,No_Pool,191000,12.16002871
1998,Excellent,2,3,7,2,No_Pool,200500,12.20856953
1977,Excellent,1,3,5,1,No_Pool,150000,11.91839057
1977,Excellent,1,3,6,1,No_Pool,161750,11.99380721
1976,Typical,1,3,5,1,No_Pool,128200,11.76134682
1972,Typical,1,3,5,2,No_Pool,127000,11.75194237
2003,Excellent,2,3,8,3,No_Pool,318000,12.66980666
2001,Excellent,2,3,6,2,No_Pool,272000,12.51355735
2003,Excellent,2,3,7,2,No_Pool,237000,12.37581542
1997,Excellent,2,4,9,2,No_Pool,240000,12.3883942
1998,Excellent,2,3,6,2,No_Pool,224900,12.32341114
2003,Excellent,1,1,4,2,No_Pool,143750,11.87583096
2004,Excellent,1,1,3,2,No_Pool,143000,11.87059991
2003,Excellent,2,3,8,2,No_Pool,232000,12.35449265
2004,Excellent,2,3,7,2,No_Pool,213000,12.26904744
2004,Excellent,2,3,6,2,No_Pool,185500,12.13081016
1945,Typical,1,2,5,1,No_Pool,84900,11.34922937
1954,Excellent,1,3,6,1,No_Pool,155891,11.95691232
1965,Typical,2,4,8,0,No_Pool,100000,11.51292546
1968,Typical,1,3,6,1,No_Pool,144000,11.87756858
1948,Excellent,1,2,5,2,No_Pool,64000,11.06663836
1975,Typical,1,3,5,1,No_Pool,125200,11.73766774
1976,Typical,1,3,6,2,No_Pool,107000,11.58058411
1958,Excellent,1,3,5,0,No_Pool,90000,11.40756495
2003,Excellent,2,2,5,2,No_Pool,140000,11.8493977
1945,Typical,1,3,7,1,No_Pool,113000,11.6351431
1941,Fair,1,2,5,1,No_Pool,80000,11.28978191
1957,Excellent,1,4,7,1,No_Pool,144500,11.88103479
1924,Fair,2,2,5,1,No_Pool,104000,11.55214618
1915,Typical,1,4,6,1,No_Pool,128000,11.75978554
1914,Typical,1,2,5,1,No_Pool,58500,10.97678203
1924,Typical,2,3,6,1,No_Pool,127000,11.75194237
1939,Typical,1,2,4,2,No_Pool,126000,11.74403719
1967,Typical,3,6,10,0,No_Pool,160000,11.98292909
1931,Excellent,1,3,7,0,No_Pool,100000,11.51292546
1919,Excellent,2,4,10,1,No_Pool,169000,12.03765399
1941,Excellent,1,4,8,1,No_Pool,257500,12.458775
1950,Excellent,2,5,11,2,No_Pool,215000,12.27839331
1941,Excellent,2,4,9,1,No_Pool,266500,12.49312952
1959,Typical,2,3,7,2,No_Pool,335000,12.72188581
1994,Excellent,2,3,6,2,No_Pool,203135,12.22162606
1989,Good,1,1,4,2,No_Pool,185000,12.1281111
1989,Good,2,2,5,2,No_Pool,162500,11.99843328
1959,Typical,2,1,6,2,No_Pool,289000,12.57418197
1922,Good,1,3,7,1,No_Pool,125500,11.74006104
1941,Typical,1,1,4,1,No_Pool,82000,11.31447453
1921,Fair,1,2,5,1,No_Pool,110000,11.60823564
1920,Typical,1,2,6,2,No_Pool,68400,11.1331281
1900,Good,1,2,7,1,No_Pool,102776,11.54030714
1952,Typical,1,2,4,2,No_Pool,55993,10.93298196
1896,Good,1,3,5,1,No_Pool,50138,10.82253448
2004,Excellent,2,2,5,2,No_Pool,246000,12.41308681
1998,Excellent,2,3,8,3,No_Pool,254900,12.44862659
1977,Typical,2,3,6,2,No_Pool,190000,12.15477935
2003,Excellent,2,3,7,2,No_Pool,201000,12.21106019
1976,Typical,1,3,6,3,No_Pool,169900,12.04296531
1976,Typical,3,5,9,2,No_Pool,170000,12.04355372
1948,Typical,1,3,7,2,No_Pool,160000,11.98292909
2008,Excellent,2,3,6,3,No_Pool,220000,12.30138283
2009,Excellent,2,2,6,2,No_Pool,179781,12.09949472
2006,Good,2,3,7,2,No_Pool,174000,12.06681058
2009,Excellent,2,4,8,3,No_Pool,269500,12.50432367
2002,Excellent,2,4,8,2,No_Pool,214900,12.27792808
2002,Excellent,2,4,9,2,No_Pool,202900,12.22046853
2008,Excellent,2,3,10,3,No_Pool,378500,12.84397135
1965,Typical,1,2,7,2,No_Pool,169000,12.03765399
2004,Excellent,2,3,7,2,No_Pool,173500,12.06393288
1971,Typical,2,4,8,0,No_Pool,139000,11.84222921
1999,Excellent,2,3,7,2,No_Pool,166500,12.02275059
1973,Typical,1,3,6,1,No_Pool,83500,11.33260191
1973,Excellent,1,2,5,1,No_Pool,119500,11.69107165
1976,Typical,1,3,4,1,No_Pool,85000,11.35040654
1970,Excellent,1,3,5,0,No_Pool,76000,11.23848862
1972,Excellent,1,1,3,0,No_Pool,75500,11.23188794
1970,Excellent,1,3,5,0,No_Pool,88250,11.38792897
1972,Typical,1,3,5,1,No_Pool,85500,11.35627165
1971,Excellent,1,3,5,1,No_Pool,130000,11.77528973
1962,Typical,1,3,6,1,No_Pool,157900,11.9697172
1984,Typical,1,2,5,2,No_Pool,149900,11.91772368
1985,Good,4,4,10,2,No_Pool,159000,11.97665948
1991,Good,1,3,6,2,No_Pool,136000,11.82041016
1969,Typical,2,5,8,1,No_Pool,161000,11.98915964
1994,Excellent,2,3,6,2,No_Pool,285000,12.56024446
1993,Excellent,2,3,7,2,No_Pool,231000,12.35017299
1956,Typical,1,2,5,1,No_Pool,124500,11.73206099
1974,Typical,2,4,7,2,No_Pool,157000,11.96400108
1972,Good,2,4,9,2,No_Pool,345000,12.7512997
1997,Excellent,2,3,7,2,No_Pool,189500,12.1521443
2003,Excellent,2,4,9,3,No_Pool,270000,12.50617724
1996,Good,2,3,7,2,No_Pool,189000,12.14950229
2006,Excellent,2,3,7,3,No_Pool,377500,12.84132585
1995,Good,2,3,7,2,No_Pool,168500,12.03469103
2004,Excellent,2,1,8,2,No_Pool,375000,12.8346813
2000,Excellent,2,2,5,2,No_Pool,278000,12.53537639
1998,Excellent,2,2,5,2,No_Pool,240000,12.3883942
1995,Excellent,2,2,6,2,No_Pool,239500,12.3863087
1998,Good,2,3,7,2,No_Pool,177500,12.08672589
1998,Good,2,3,7,2,No_Pool,185000,12.1281111
1998,Good,2,3,7,2,No_Pool,191000,12.16002871
1993,Good,2,3,7,2,No_Pool,178000,12.08953883
1993,Good,2,3,6,2,No_Pool,185000,12.1281111
1994,Good,2,3,7,2,No_Pool,181316,12.10799664
1993,Excellent,2,3,6,2,No_Pool,166000,12.01974307
1992,Good,2,3,7,2,No_Pool,178000,12.08953883
1994,Good,2,3,6,2,No_Pool,174000,12.06681058
1992,Good,2,3,6,2,No_Pool,173000,12.06104687
1999,Excellent,2,3,9,2,No_Pool,225000,12.32385568
1990,Excellent,2,3,5,2,No_Pool,180500,12.10348606
1984,Good,1,1,4,2,No_Pool,187500,12.14153412
2008,Excellent,2,1,9,3,No_Pool,501837,13.12603064
2008,Excellent,2,3,7,3,No_Pool,372500,12.82799232
2005,Excellent,2,3,7,2,No_Pool,260000,12.46843691
1977,Excellent,2,3,6,2,No_Pool,185000,12.1281111
1980,Typical,2,4,10,2,No_Pool,260000,12.46843691
1979,Typical,2,3,7,2,No_Pool,181000,12.10625231
1977,Typical,2,3,6,2,No_Pool,82500,11.32055357
1977,Good,2,3,8,2,No_Pool,215000,12.27839331
1978,Typical,2,4,8,2,No_Pool,154000,11.94470788
1978,Typical,2,3,7,2,No_Pool,200000,12.20607265
1980,Typical,2,4,9,2,No_Pool,249000,12.42520818
1980,Typical,2,3,6,2,No_Pool,187500,12.14153412
1978,Good,2,3,7,2,No_Pool,184000,12.12269104
1981,Typical,2,4,9,2,No_Pool,278000,12.53537639
1978,Typical,2,3,7,2,No_Pool,157000,11.96400108
1976,Typical,2,3,6,2,No_Pool,152000,11.9316358
1976,Excellent,2,4,9,2,No_Pool,197500,12.19349386
2003,Excellent,2,3,7,2,No_Pool,240900,12.39213719
2009,Excellent,2,3,8,2,No_Pool,263435,12.48156194
2000,Excellent,2,3,7,2,No_Pool,220000,12.30138283
2002,Excellent,2,3,7,2,No_Pool,235000,12.36734079
1975,Typical,2,3,7,2,No_Pool,213000,12.26904744
1974,Excellent,2,3,6,2,No_Pool,167900,12.03112384
1975,Fair,2,3,5,2,No_Pool,158000,11.97035031
1974,Typical,2,3,7,2,No_Pool,165000,12.01370075
1972,Typical,2,3,7,2,No_Pool,158000,11.97035031
1974,Typical,2,4,8,0,No_Pool,136000,11.82041016
1970,Typical,1,3,5,2,No_Pool,148500,11.90834024
1969,Good,1,3,5,2,No_Pool,156000,11.95761129
1970,Typical,1,2,6,2,No_Pool,128000,11.75978554
1971,Excellent,1,3,6,1,No_Pool,143000,11.87059991
1970,Typical,1,3,5,2,No_Pool,76500,11.24504602
1970,Typical,1,3,5,2,No_Pool,120500,11.69940503
1970,Excellent,1,3,5,2,No_Pool,124500,11.73206099
1971,Good,1,2,4,2,No_Pool,97000,11.48246626
1971,Good,1,3,5,2,No_Pool,130000,11.77528973
1973,Typical,1,2,5,1,No_Pool,111000,11.61728548
1970,Typical,1,3,7,2,No_Pool,125000,11.73606902
1971,Typical,2,3,6,1,No_Pool,112000,11.62625415
1972,Typical,1,2,5,1,No_Pool,97000,11.48246626
1972,Good,1,2,5,1,No_Pool,118000,11.6784399
1972,Typical,2,3,6,1,No_Pool,119500,11.69107165
1976,Typical,2,2,5,2,No_Pool,143750,11.87583096
1976,Typical,2,3,7,2,No_Pool,146000,11.8913619
1976,Typical,2,3,7,2,No_Pool,148500,11.90834024
1975,Typical,2,2,4,2,No_Pool,123000,11.71993963
1974,Typical,2,3,6,2,No_Pool,147000,11.89818787
1977,Typical,2,3,6,2,No_Pool,137900,11.83428406
1978,Typical,2,3,7,2,No_Pool,147000,11.89818787
1978,Typical,2,3,7,2,No_Pool,148500,11.90834024
1978,Typical,2,3,6,2,No_Pool,138000,11.83500896
1976,Typical,1,2,5,1,No_Pool,128500,11.76368418
1967,Typical,1,3,5,1,No_Pool,100000,11.51292546
1966,Excellent,1,3,5,2,No_Pool,148800,11.9103584
2006,Excellent,2,3,7,3,No_Pool,337500,12.72932079
2007,Excellent,3,4,10,3,No_Pool,462000,13.04332017
2008,Excellent,3,4,11,3,No_Pool,485000,13.09190417
2008,Excellent,2,2,10,3,No_Pool,555000,13.22672339
2006,Excellent,2,2,6,2,No_Pool,325000,12.69158046
2007,Excellent,2,3,7,3,No_Pool,256300,12.45410391
2008,Excellent,2,3,8,3,No_Pool,253293,12.4423022
2009,Excellent,2,3,8,3,No_Pool,398800,12.89621532
2008,Excellent,2,3,10,3,No_Pool,335000,12.72188581
2008,Excellent,2,3,7,3,No_Pool,404000,12.90917016
2009,Excellent,2,3,9,3,No_Pool,402861,12.90634687
2008,Excellent,2,3,10,3,No_Pool,451950,13.02132683
2007,Excellent,2,2,8,3,No_Pool,610000,13.32121424
2008,Excellent,3,4,12,3,No_Pool,582933,13.27582754
2008,Excellent,2,3,7,3,No_Pool,360000,12.79385931
2004,Excellent,2,3,7,3,No_Pool,296000,12.59811473
2007,Excellent,2,5,10,3,No_Pool,409900,12.92366851
2006,Excellent,2,3,7,3,No_Pool,255500,12.45097769
2008,Excellent,2,3,8,3,No_Pool,335000,12.72188581
2004,Excellent,2,3,7,3,No_Pool,274900,12.52416267
2006,Excellent,2,2,6,3,No_Pool,300000,12.61153775
2008,Excellent,2,3,7,3,No_Pool,324000,12.68849879
2004,Excellent,2,4,10,3,No_Pool,350000,12.76568843
2004,Excellent,2,3,7,3,No_Pool,280000,12.54254488
2003,Excellent,2,3,7,3,No_Pool,284000,12.55672952
2003,Excellent,2,3,8,2,No_Pool,269500,12.50432367
2009,Excellent,2,3,7,2,No_Pool,233170,12.35952308
2003,Excellent,2,3,8,3,No_Pool,386250,12.86424011
2003,Excellent,2,3,10,3,No_Pool,445000,13.00582956
2003,Excellent,3,4,10,3,No_Pool,290000,12.5776362
2006,Good,2,3,6,3,No_Pool,255900,12.45254202
2005,Excellent,2,2,6,2,No_Pool,213000,12.26904744
2005,Excellent,2,1,5,2,No_Pool,196000,12.18586994
2005,Excellent,2,1,5,2,No_Pool,184500,12.12540474
2007,Excellent,2,2,6,2,No_Pool,212500,12.26669727
2007,Excellent,2,2,6,2,No_Pool,230000,12.34583459
